id,birthday,civility,marital_status,has_account_bank,children_number,address,country,city,municipality,neighborhood,monthly_income,occupational_function,activity_sector_id,contract_type,monthly_charge,debt,professional_experience,previous_dwellings,persons_dependents,created_at,updated_at
c4ea7057-84a9-4b60-93bb-53f1a7d70cd5,1974-02-15 20:00:35.498,Mr.,Widowed,True,0,957 Avenue Jean Mermoz,Côte d'Ivoire,Abidjan,Treichville,Treichville Résidentiel,360000.0,Forward Accountability Specialist,f2e5c15a-7b75-4b30-8eb4-bd6adf045582,Etudiant,1153405.0,697890.0,23,4,5,2024-08-01,2025-09-10 09:24:02.697
b416fca1-be89-4a55-9df3-bff3b34af22b,2000-03-27 01:13:05.331,Dr.,Widowed,True,5,334 Avenue Chardy,Côte d'Ivoire,Yamoussoukro,Centre Yamoussoukro,Quartier Central,180000.0,Direct Quality Orchestrator,9adec4cd-1c1e-441d-9911-6ce66afca1f3,Etudiant,537335.0,54925.0,34,3,5,2024-08-01,2025-09-10 09:24:02.701
66b6ea5b-fa04-48ee-af87-7cc232eb8971,1991-04-02 17:27:56.126,Mrs.,Widowed,False,1,436 Rue Pierre et Marie Curie,Côte d'Ivoire,Abidjan,Treichville,Treichville Résidentiel,290000.0,District Configuration Technician,af902e0d-bf56-4e4e-bafd-41ffe54613d7,Independant,781475.0,299940.0,23,0,7,2024-08-01,2025-09-10 09:24:02.706
d225a9fa-f341-4f3a-9d4b-4cd2b919b474,1965-01-30 11:51:56.700,Miss,Divorced,False,2,683 Avenue Chardy,Côte d'Ivoire,Gagnoa,Centre Gagnoa,Quartier Central,960000.0,Dynamic Program Liaison,56516485-3dc1-4190-807d-e40379033bbd,Independant,2188975.0,1281400.0,19,3,4,2024-08-01,2025-09-10 09:24:02.710
3ce440b3-7158-45f5-99eb-f959a87660c1,1989-01-19 17:16:58.028,Mr.,Widowed,False,0,720 Boulevard Lagunaire,Côte d'Ivoire,Yamoussoukro,Centre Yamoussoukro,Quartier Central,440000.0,Customer Interactions Strategist,bfb2091e-157e-4e00-a5e4-2c5845b4866f,Interim,1277400.0,405745.0,11,5,7,2024-08-01,2025-09-10 09:24:02.715
36bd01df-06dd-42e1-9c77-fd411967ec86,1986-04-26 14:27:06.001,Mr.,Married,False,6,160 Boulevard François Mitterrand,Côte d'Ivoire,San-Pédro,Centre San-Pédro,Quartier Central,140000.0,Legacy Data Coordinator,1adbce53-136c-4988-b71c-d3b2dda93fd8,Etudiant,232665.0,184580.0,0,2,7,2024-08-01,2025-09-10 09:24:02.720
09b62cf4-0467-4c4e-9471-71f4dde70828,1973-09-30 03:19:28.473,Ms.,Divorced,False,10,576 Rue Pierre et Marie Curie,Côte d'Ivoire,Daloa,Centre Daloa,Quartier Central,140000.0,Investor Communications Assistant,f97b358d-4276-4691-8790-4c1889847f97,Etudiant,291275.0,19745.0,5,1,3,2024-08-01,2025-09-10 09:24:02.725
e0d4497a-be97-48e4-9947-fa7a238216f4,1977-05-18 00:34:47.540,Ms.,Single,True,6,521 Avenue Chardy,Côte d'Ivoire,Grand-Bassam,Centre Grand-Bassam,Quartier Central,240000.0,Direct Data Strategist,6bd79b29-b263-4b23-9f94-3605538d153f,CDD,754015.0,230385.0,17,4,7,2024-08-01,2025-09-10 09:24:02.731
7d199cb3-35b2-4c90-a9a3-dad4b2365cad,1981-08-07 19:22:45.000,Mr.,Married,False,6,219 Avenue Houphouët Boigny,Côte d'Ivoire,Grand-Bassam,Centre Grand-Bassam,Quartier Central,60000.0,Legacy Operations Strategist,e9a0935e-7ff1-4de7-919e-e515ddc8a150,Etudiant,29050.0,61190.0,24,3,5,2024-08-01,2025-09-10 09:24:02.736
c1e6a71e-a2d3-4436-9558-d7855a3d5612,1993-06-04 02:57:59.987,Mrs.,Single,False,9,888 Avenue Nogués,Côte d'Ivoire,Korhogo,Centre Korhogo,Quartier Central,145000.0,Direct Infrastructure Consultant,af902e0d-bf56-4e4e-bafd-41ffe54613d7,CDD,180120.0,212165.0,28,4,6,2024-08-01,2025-09-10 09:24:02.742
9909f634-78bc-45d0-a2a1-d3f4c9b308b9,1966-05-22 00:18:01.522,Ms.,Widowed,False,5,131 Boulevard de la République,Côte d'Ivoire,Yamoussoukro,Centre Yamoussoukro,Quartier Central,560000.0,Product Research Administrator,46d2f52e-22c7-48e6-bc6b-df11d8f72f68,Fonctionnaire,1842715.0,135645.0,29,1,5,2024-08-01,2025-09-10 09:24:02.747
2ef6b988-f612-4202-a323-8f0aa6377ebd,1981-02-10 18:27:04.699,Mr.,Single,True,4,422 Boulevard Hassan II,Côte d'Ivoire,Man,Centre Man,Quartier Central,200000.0,District Applications Associate,af902e0d-bf56-4e4e-bafd-41ffe54613d7,Independant,519310.0,1370.0,30,3,2,2024-08-01,2025-09-10 09:24:02.753
1d68653c-48e5-478c-913a-50fa21e9daac,1969-06-26 15:50:35.268,Mr.,Divorced,False,1,282 Boulevard François Mitterrand,Côte d'Ivoire,Abidjan,Koumassi,Grand-Campement,450000.0,Legacy Tactics Designer,3bda4aea-10d7-4a8e-b74b-75036ab5b7d0,Fonctionnaire,41765.0,101440.0,32,2,6,2024-08-01,2025-09-10 09:24:02.757
0d0ded0e-4014-4df3-b48d-ad4af81076df,2003-05-08 03:53:53.827,Ms.,Single,True,10,963 Rue des Jardins,Côte d'Ivoire,Yamoussoukro,Centre Yamoussoukro,Quartier Central,350000.0,Principal Functionality Administrator,b315b6b0-811b-46fd-95a0-0f7ff8538b64,Interim,544720.0,39720.0,24,2,1,2024-08-01,2025-09-10 09:24:02.763
b1bc5e41-6eef-4141-89ad-155b88a6c5ee,2004-06-18 09:53:30.360,Mrs.,Divorced,False,0,392 Avenue Houphouët Boigny,Côte d'Ivoire,Abidjan,Adjamé,Williamsville,895000.0,National Directives Strategist,58fdc2b1-a9ca-4dbb-a145-b7c691ae59f5,Fonctionnaire,1068545.0,390905.0,18,0,7,2024-08-01,2025-09-10 09:24:02.769
4c9b133c-54de-459d-a04c-3022d13f1250,1975-12-16 09:07:17.333,Miss,Married,False,7,544 Rue Jesse Owens,Côte d'Ivoire,Divo,Centre Divo,Quartier Central,130000.0,Regional Paradigm Associate,149823c7-eada-4a9f-aab0-756007ffa2fc,Interim,406530.0,243895.0,31,5,5,2024-08-01,2025-09-10 09:24:02.773
2e75bd59-75de-4ea3-9a9d-3af0cdb1711e,1990-12-27 18:54:00.154,Mr.,Married,True,9,923 Boulevard de la République,Côte d'Ivoire,Man,Centre Man,Quartier Central,335000.0,Internal Quality Coordinator,f97b358d-4276-4691-8790-4c1889847f97,CDI,294920.0,10770.0,28,3,2,2024-08-01,2025-09-10 09:24:02.779
48f16eda-ebfc-4238-8c30-609140a93a4a,1989-04-17 22:33:42.078,Mrs.,Married,True,9,445 Rue du Commerce,Côte d'Ivoire,Anyama,Centre Anyama,Quartier Central,140000.0,Central Tactics Executive,9b1f1b5b-eae6-444f-8371-53bd91d4bdbe,Etudiant,79995.0,4145.0,3,0,5,2024-08-01,2025-09-10 09:24:02.783
bdc79b91-cb0d-4459-888b-7b5010839744,2002-12-28 05:44:06.581,Dr.,Divorced,False,10,267 Boulevard Hassan II,Côte d'Ivoire,San-Pédro,Centre San-Pédro,Quartier Central,240000.0,Corporate Metrics Manager,4d19446d-dd78-4914-a2cf-2bd645433edc,CDD,732210.0,51100.0,10,0,3,2024-08-01,2025-09-10 09:24:02.788
412534fa-3e23-45a4-9005-ff7cc84e5d89,1979-04-20 15:26:37.093,Mrs.,Single,False,0,492 Rue Pierre et Marie Curie,Côte d'Ivoire,Grand-Bassam,Centre Grand-Bassam,Quartier Central,280000.0,International Creative Analyst,41e49fd3-3d27-41ec-a542-0b9fe380dc0b,CDD,319940.0,476365.0,1,4,5,2024-08-01,2025-09-10 09:24:02.793
45cf372b-596c-4305-a023-8684c82f098b,1990-07-04 07:56:34.182,Mrs.,Divorced,True,0,303 Avenue Nogués,Côte d'Ivoire,San-Pédro,Centre San-Pédro,Quartier Central,190000.0,Senior Identity Officer,497090aa-5802-4c25-ac63-7a30e6edd58f,CDI,315440.0,20900.0,1,1,2,2024-08-01,2025-09-10 09:24:02.798
25b8a152-64f5-444a-af56-def29b675745,1987-07-22 02:05:49.971,Miss,Widowed,True,8,626 Boulevard Lagunaire,Côte d'Ivoire,Daloa,Centre Daloa,Quartier Central,430000.0,Principal Functionality Architect,9adec4cd-1c1e-441d-9911-6ce66afca1f3,CDI,1420240.0,4670.0,4,2,0,2024-08-01,2025-09-10 09:24:02.803
8bb7cbd5-7341-48f0-8a3b-bad586329622,1989-05-09 21:15:15.229,Dr.,Married,True,1,901 Rue Jesse Owens,Côte d'Ivoire,San-Pédro,Centre San-Pédro,Quartier Central,480000.0,Corporate Implementation Assistant,2b8629e9-3652-499a-861e-69f7cfc96133,Etudiant,388775.0,135850.0,18,4,2,2024-08-01,2025-09-10 09:24:02.806
5ec2bfce-75d3-46bf-b973-efc91185b194,1992-02-22 00:56:46.176,Mr.,Single,False,10,315 Avenue Houphouët Boigny,Côte d'Ivoire,Grand-Bassam,Centre Grand-Bassam,Quartier Central,395000.0,Central Branding Officer,9adec4cd-1c1e-441d-9911-6ce66afca1f3,Interim,144120.0,597490.0,30,5,1,2024-08-01,2025-09-10 09:24:02.810
0a723c90-7c89-49b5-85da-3b0190b3ce19,1960-01-10 21:01:19.431,Mrs.,Single,True,6,406 Avenue Chardy,Côte d'Ivoire,San-Pédro,Centre San-Pédro,Quartier Central,320000.0,Principal Division Analyst,58fdc2b1-a9ca-4dbb-a145-b7c691ae59f5,Etudiant,988285.0,348315.0,25,1,4,2024-08-01,2025-09-10 09:24:02.814
44f9ca57-be5d-4e30-aa27-17fc0b0dad64,1975-10-26 16:29:28.716,Ms.,Widowed,True,1,956 Avenue Nogués,Côte d'Ivoire,Yamoussoukro,Centre Yamoussoukro,Quartier Central,335000.0,Lead Functionality Liaison,1adbce53-136c-4988-b71c-d3b2dda93fd8,CDI,951630.0,645555.0,16,2,5,2024-08-01,2025-09-10 09:24:02.823
a2cab400-9eac-4ca9-800d-dcefbdb41398,1991-05-09 14:09:51.937,Mr.,Divorced,False,7,513 Boulevard Hassan II,Côte d'Ivoire,Abidjan,Yopougon,Maroc,960000.0,International Marketing Representative,2b8629e9-3652-499a-861e-69f7cfc96133,CDD,2568715.0,637645.0,8,4,5,2024-08-01,2025-09-10 09:24:02.826
8bdca52e-cd87-43d3-a243-615510583d68,1972-04-27 20:43:38.483,Ms.,Divorced,False,10,99 Rue du Commerce,Côte d'Ivoire,Yamoussoukro,Centre Yamoussoukro,Quartier Central,120000.0,Direct Solutions Officer,c3ab1470-c52c-4b73-9fe4-7a765cd16c82,Etudiant,181870.0,5245.0,29,1,5,2024-08-01,2025-09-10 09:24:02.831
905de41a-4985-4325-8a65-2a1658234a4e,1988-11-07 15:24:50.556,Dr.,Divorced,False,2,827 Avenue Nogués,Côte d'Ivoire,Anyama,Centre Anyama,Quartier Central,520000.0,Direct Paradigm Administrator,37da5c51-5193-4614-825f-5a5b1ebc9119,CDD,256800.0,60700.0,6,1,1,2024-08-01,2025-09-10 09:24:02.837
7dae3da6-d90b-4fc7-8a55-bdec806eb9c1,1964-01-14 06:34:29.869,Miss,Divorced,True,6,393 Boulevard de Marseille,Côte d'Ivoire,Korhogo,Centre Korhogo,Quartier Central,335000.0,Chief Identity Developer,c7c0cbfe-5c1b-4162-8ae6-f1b7fcb008a3,Independant,1084260.0,643690.0,22,0,7,2024-08-01,2025-09-10 09:24:02.841
43b13fea-d54c-4ffb-b178-3c9d38729a71,1991-04-25 15:30:45.222,Miss,Married,True,7,920 Rue Jesse Owens,Côte d'Ivoire,Divo,Centre Divo,Quartier Central,575000.0,Human Optimization Planner,62057165-860d-4583-bf09-2b6f7777b419,CDI,607880.0,512955.0,35,2,1,2024-08-01,2025-09-10 09:24:02.845
943e9bc5-ae49-46e2-8e2d-93eaebe800f4,1968-06-01 01:08:40.186,Dr.,Widowed,True,1,932 Avenue Crosson Duplessis,Côte d'Ivoire,Man,Centre Man,Quartier Central,265000.0,Lead Functionality Technician,6bd79b29-b263-4b23-9f94-3605538d153f,Interim,768215.0,96395.0,31,0,5,2024-08-01,2025-09-10 09:24:02.848
a48619bc-dd47-4c86-a1cd-d93813bcf21d,1997-05-25 17:35:07.484,Dr.,Single,False,9,404 Boulevard de Marseille,Côte d'Ivoire,Abidjan,Koumassi,Remblais,250000.0,Human Program Architect,693fd115-bad6-4d56-b9a2-b3b266cb61c3,Informel,589290.0,281575.0,31,0,6,2024-08-01,2025-09-10 09:24:02.852
c57c1b0e-846f-4bfa-b224-6b19f67442bd,1992-08-03 03:52:14.485,Miss,Divorced,True,3,68 Rue des Bananiers,Côte d'Ivoire,Gagnoa,Centre Gagnoa,Quartier Central,505000.0,Dynamic Data Architect,4b5f4ecf-bd8f-4623-ab44-52dbe4e2da8c,Fonctionnaire,80735.0,737745.0,3,3,7,2024-08-01,2025-09-10 09:24:02.859
b23f663f-b3a9-4fe3-bc2b-bdf871ddfeff,1980-02-06 00:42:15.203,Mr.,Single,True,5,448 Avenue Nogués,Côte d'Ivoire,Gagnoa,Centre Gagnoa,Quartier Central,260000.0,Product Program Liaison,37da5c51-5193-4614-825f-5a5b1ebc9119,Etudiant,44755.0,414645.0,0,2,0,2024-08-01,2025-09-10 09:24:02.862
df79fbde-9837-4c61-809f-e41551b0cb36,2004-12-16 09:29:30.901,Ms.,Divorced,True,9,875 Avenue Chardy,Côte d'Ivoire,Anyama,Centre Anyama,Quartier Central,155000.0,Direct Interactions Technician,d228420b-9a00-42bf-9e72-67242f2d4c8c,Informel,386740.0,560.0,11,4,2,2024-08-01,2025-09-10 09:24:02.867
0b5cc924-9735-41f3-adb3-fd10eeaff462,1993-09-06 14:19:44.266,Mrs.,Widowed,True,3,271 Avenue Jean Mermoz,Côte d'Ivoire,Grand-Bassam,Centre Grand-Bassam,Quartier Central,625000.0,National Usability Architect,66096473-589a-4867-a11a-f91a30d41759,CDI,1222290.0,1021350.0,25,3,1,2024-08-01,2025-09-10 09:24:02.873
fb3d301c-add2-4c47-b466-d869d1f4b4fa,1975-10-04 01:14:52.085,Dr.,Single,False,1,638 Rue des Jardins,Côte d'Ivoire,San-Pédro,Centre San-Pédro,Quartier Central,140000.0,Senior Group Architect,f97b358d-4276-4691-8790-4c1889847f97,Etudiant,348475.0,210755.0,4,0,3,2024-08-01,2025-09-10 09:24:02.878
4ef4d8af-62cd-4899-b7e9-b7c39bffd5f0,1979-03-20 21:21:55.751,Dr.,Widowed,False,0,797 Rue des Bananiers,Côte d'Ivoire,Anyama,Centre Anyama,Quartier Central,280000.0,District Intranet Orchestrator,19e0d3cc-accb-43cf-8a9b-d341057cc11e,Fonctionnaire,344525.0,488265.0,12,2,0,2024-08-01,2025-09-10 09:24:02.881
7d56b93a-44a2-45d2-b707-74268d41c90c,2003-11-12 14:25:53.986,Miss,Single,True,8,453 Rue des Bananiers,Côte d'Ivoire,Bouaké,Centre Bouaké,Quartier Central,335000.0,Senior Integration Architect,c7c0cbfe-5c1b-4162-8ae6-f1b7fcb008a3,Independant,664535.0,422955.0,24,1,2,2024-08-01,2025-09-10 09:24:02.884
47207084-76e2-4e2e-a2f7-49809d4a3460,1980-05-13 23:00:22.977,Miss,Single,False,4,417 Avenue Chardy,Côte d'Ivoire,Abidjan,Marcory,Marcory Zone 4,125000.0,Chief Usability Specialist,f12c02be-944b-4bf6-be69-d70b812fb0b3,Informel,128310.0,226775.0,24,5,2,2024-08-01,2025-09-10 09:24:02.888
1b9e9c1f-0b69-40a0-a918-9767d08c0934,2002-10-16 09:28:59.071,Ms.,Divorced,True,9,611 Avenue Jean Mermoz,Côte d'Ivoire,Bouaké,Centre Bouaké,Quartier Central,1295000.0,Principal Optimization Officer,ae766852-c630-49b0-be85-50b314738160,Independant,2562555.0,98080.0,20,0,0,2024-08-01,2025-09-10 09:24:02.892
de8dbfb8-584f-480e-a5cc-93e0f8c7883b,2001-06-22 03:55:09.328,Mr.,Widowed,False,8,386 Avenue Nogués,Côte d'Ivoire,Daloa,Centre Daloa,Quartier Central,470000.0,District Metrics Technician,66096473-589a-4867-a11a-f91a30d41759,Independant,1030970.0,408100.0,13,0,3,2024-08-01,2025-09-10 09:24:02.900
a055db32-dac8-42b7-ab50-96d924aa641b,1979-02-24 00:03:39.309,Mr.,Single,False,4,20 Rue des Jardins,Côte d'Ivoire,Divo,Centre Divo,Quartier Central,770000.0,District Usability Producer,d742faba-923c-45f8-a20f-7150b7c0be2d,CDI,970505.0,1381880.0,11,3,6,2024-08-01,2025-09-10 09:24:02.906
d729b773-25b1-4727-8e2b-054bc6d92d4d,1965-11-10 06:06:12.297,Mrs.,Divorced,True,8,128 Avenue Nogués,Côte d'Ivoire,Gagnoa,Centre Gagnoa,Quartier Central,1150000.0,Global Security Liaison,2b8629e9-3652-499a-861e-69f7cfc96133,CDI,69385.0,1630745.0,30,4,0,2024-08-01,2025-09-10 09:24:02.911
355fce1d-edc7-4f68-b32e-0183d53174d5,1993-06-07 11:55:32.174,Miss,Single,True,1,134 Boulevard de Marseille,Côte d'Ivoire,Korhogo,Centre Korhogo,Quartier Central,360000.0,Product Web Strategist,b3ceb95c-84da-4e96-9030-d9186fc9ac7b,CDD,579920.0,144905.0,22,4,6,2024-08-01,2025-09-10 09:24:02.916
0d0940b3-d904-4c5b-9127-b2dd05f95681,1995-10-26 02:56:36.413,Mr.,Divorced,True,2,392 Rue des Jardins,Côte d'Ivoire,Anyama,Centre Anyama,Quartier Central,335000.0,Human Factors Administrator,b8812b5b-d10b-4085-bba0-b6e05980429e,Fonctionnaire,705745.0,58550.0,7,1,4,2024-08-01,2025-09-10 09:24:02.925
1265719d-0b4a-4f58-a5fd-ba13352ccfbd,1962-04-25 05:07:25.873,Mrs.,Married,True,1,281 Rue des Bananiers,Côte d'Ivoire,Man,Centre Man,Quartier Central,770000.0,Customer Division Facilitator,2670fc77-ffc3-401e-bafa-6d96e167f9b0,Independant,1968980.0,99645.0,13,1,1,2024-08-01,2025-09-10 09:24:02.929
408fab78-963f-47cb-91cc-db68b2c25d97,2001-03-06 11:59:49.706,Ms.,Divorced,False,8,890 Avenue Nogués,Côte d'Ivoire,Anyama,Centre Anyama,Quartier Central,270000.0,District Implementation Associate,de339c77-1800-4311-b8dd-4dfff88385e0,CDI,720240.0,448055.0,1,5,1,2024-08-01,2025-09-10 09:24:02.935
1ca7a2f3-d796-482b-9f96-8bc3b892d19e,1996-09-06 16:14:31.910,Miss,Widowed,False,1,477 Avenue Crosson Duplessis,Côte d'Ivoire,Abidjan,Plateau,Plateau Centre,350000.0,Internal Optimization Technician,2670fc77-ffc3-401e-bafa-6d96e167f9b0,Interim,1009905.0,117485.0,18,0,4,2024-08-01,2025-09-10 09:24:02.939
0b120953-7e5c-4a4f-a9a4-4ae8dab94586,1994-04-25 02:37:14.080,Miss,Single,True,3,718 Avenue Houphouët Boigny,Côte d'Ivoire,San-Pédro,Centre San-Pédro,Quartier Central,505000.0,Dynamic Security Designer,deac90c1-8fe3-432e-a791-edb426f0942d,Independant,1610520.0,328470.0,3,4,7,2024-08-01,2025-09-10 09:24:02.942
d1247f03-5678-48b4-a9bd-b630838247c2,1978-12-30 11:04:16.368,Miss,Married,True,1,286 Avenue Crosson Duplessis,Côte d'Ivoire,Man,Centre Man,Quartier Central,1150000.0,Corporate Metrics Engineer,54a9811c-4cb8-4551-afc6-3d1f906d601c,Independant,1622415.0,879255.0,10,5,7,2024-08-01,2025-09-10 09:24:02.946
a38a4d46-002f-4328-a610-82e9a206dfda,1980-04-25 16:29:03.321,Mrs.,Divorced,False,7,485 Boulevard de Marseille,Côte d'Ivoire,Man,Centre Man,Quartier Central,1380000.0,Central Security Analyst,f5fd90c1-4936-4d29-8bb9-f22c6e219cc4,Independant,3822920.0,2007415.0,12,1,4,2024-08-01,2025-09-10 09:24:02.949
0087a7fb-99ba-4de0-86fd-75365d562296,1982-04-24 09:46:44.085,Miss,Single,True,8,224 Boulevard François Mitterrand,Côte d'Ivoire,Anyama,Centre Anyama,Quartier Central,290000.0,Global Brand Orchestrator,4d19446d-dd78-4914-a2cf-2bd645433edc,CDI,158265.0,323305.0,16,3,6,2024-08-01,2025-09-10 09:24:02.952
3aca058f-1b57-4189-946d-59fea458b3a1,1976-03-09 04:44:58.907,Miss,Widowed,False,5,431 Avenue Houphouët Boigny,Côte d'Ivoire,Korhogo,Centre Korhogo,Quartier Central,730000.0,International Directives Developer,37da5c51-5193-4614-825f-5a5b1ebc9119,Fonctionnaire,2327805.0,77320.0,33,4,4,2024-08-01,2025-09-10 09:24:02.955
5928a726-9607-42e7-8e6c-f53acd22a9e0,1990-03-06 18:00:31.197,Ms.,Married,True,9,989 Boulevard de Marseille,Côte d'Ivoire,Anyama,Centre Anyama,Quartier Central,190000.0,International Optimization Designer,e975b461-d5ef-4c2a-b4f7-bfe9cc8a473c,CDI,198805.0,238240.0,32,1,7,2024-08-01,2025-09-10 09:24:02.959
c200de99-a0f8-414a-8958-fa1420074025,2005-08-09 03:20:41.950,Ms.,Widowed,True,3,624 Rue des Bananiers,Côte d'Ivoire,San-Pédro,Centre San-Pédro,Quartier Central,340000.0,District Group Producer,c4af4890-332c-4870-adbc-083a5fc56861,Etudiant,1055350.0,587020.0,15,4,5,2024-08-01,2025-09-10 09:24:02.962
3c8491ea-99f5-4c20-9c41-92bc700f2b96,1999-01-21 18:05:24.824,Ms.,Married,False,3,915 Boulevard de Marseille,Côte d'Ivoire,Daloa,Centre Daloa,Quartier Central,395000.0,Corporate Group Liaison,693fd115-bad6-4d56-b9a2-b3b266cb61c3,Interim,545905.0,67995.0,23,5,3,2024-08-01,2025-09-10 09:24:02.965
7cefbf3f-119c-459d-97c8-482eac015b00,1991-08-29 14:34:05.139,Miss,Single,False,3,438 Rue des Bananiers,Côte d'Ivoire,Gagnoa,Centre Gagnoa,Quartier Central,310000.0,Global Intranet Designer,607ee45b-5db0-43ba-acd5-d422643993bc,Informel,111965.0,562690.0,31,1,0,2024-08-01,2025-09-10 09:24:02.968
fb6ed29c-b1b4-4e7b-a71e-ac90287cae7a,1992-06-07 10:17:24.550,Dr.,Widowed,False,9,282 Rue des Bananiers,Côte d'Ivoire,San-Pédro,Centre San-Pédro,Quartier Central,950000.0,Product Solutions Specialist,c4af4890-332c-4870-adbc-083a5fc56861,Fonctionnaire,3226815.0,1214475.0,25,5,1,2024-08-01,2025-09-10 09:24:02.971
9e0c0318-0b26-4f32-9887-fc585e8f632f,1990-07-29 14:52:23.485,Ms.,Married,False,7,856 Rue Jesse Owens,Côte d'Ivoire,Man,Centre Man,Quartier Central,175000.0,Internal Mobility Associate,c7c0cbfe-5c1b-4162-8ae6-f1b7fcb008a3,Interim,427605.0,214755.0,2,3,0,2024-08-01,2025-09-10 09:24:02.974
edc44c93-57bd-4bd7-a757-97d2846cd602,1992-10-25 23:32:23.126,Mrs.,Single,False,7,534 Rue du Commerce,Côte d'Ivoire,Daloa,Centre Daloa,Quartier Central,480000.0,Senior Interactions Analyst,19e0d3cc-accb-43cf-8a9b-d341057cc11e,Independant,1107670.0,930780.0,11,2,1,2024-08-01,2025-09-10 09:24:02.977
d850b97e-99bc-4bbd-924f-928c359a4bbd,1996-03-11 16:44:17.916,Ms.,Widowed,False,10,828 Avenue Crosson Duplessis,Côte d'Ivoire,Bouaké,Centre Bouaké,Quartier Central,175000.0,Customer Research Officer,f12c02be-944b-4bf6-be69-d70b812fb0b3,CDD,115200.0,348605.0,24,2,1,2024-08-01,2025-09-10 09:24:02.980
